id,physical_description,unit_capture,size,len_comp_size,size_comp_flag,width,height,optional
21268,FOLDER; PHOTO; 5.5 X 7;,inches,5.5X7.0,,0,5.5,7.0,
21270,BROADSIDE; 5.75X9.0; COL;,inches,5.75X9.0,,0,5.75,9.0,
21273,CARD;ILL;COL;5X8;,inches,5.0X8.0,,0,5.0,8.0,
21274,,,,,0,,,
21275,FOLDER; ILLUS; 8.6X14;,inches,8.6X14.0,,0,8.6,14.0,
21280,FOLDER; ILLUS; COL; 4X5.75;,inches,4.0X5.75,,0,4.0,5.75,
21281,BROADSIDE;ILL;COL;4.5X7;,inches,4.5X7.0,,0,4.5,7.0,
21288,CARD; 4.0X6.25; ILLUS;,inches,4.0X6.25,,0,4.0,6.25,
21289,CARD; ILLUS; COL; 3.75X7.5;,inches,3.75X7.5,,0,3.75,7.5,
21290,FOLDER; COL; 3.5 X 5;,inches,3.5X5.0,,0,3.5,5.0,
21301,FOLDER;ILL;COL;5.25X7.5;,inches,5.25X7.5,,0,5.25,7.5,
21303,FOLDER; COL; 4.5 X 7.25;,inches,4.5X7.25,,0,4.5,7.25,
21309,BROADSIDE; ILLUS; 5.25 X 7.5;,inches,5.25X7.5,,0,5.25,7.5,
21310,BROADSHEET; ILLUS; 6X8;,inches,6.0X8.0,,0,6.0,8.0,
21311,BOOKLET; ILLUS; 7.25X9;,inches,7.25X9.0,,0,7.25,9.0,
21312,CARD; ILLUS; COL; 5.25X8;,inches,5.25X8.0,,0,5.25,8.0,
21313,BROADSHEET; ILLUS; 5 X 8,inches,5.0X8.0,,0,5.0,8.0,
21314,CARD; 5.75 X 8.25;,inches,5.75X8.25,,0,5.75,8.25,
21315,CARD;ILL;COL;4.75X7.25;,inches,4.75X7.25,,0,4.75,7.25,
21316,FOLDER; 5X6.5;,inches,5.0X6.5,,0,5.0,6.5,
21317,FOLDER; 2.75X4.5,inches,2.75X4.5,,0,2.75,4.5,
21318,CARD; 4.5 X 8.25;,inches,4.5X8.25,,0,4.5,8.25,
21322,BOOKLET; ILLUS; COL; 5.75 X 10.5;,inches,5.75X10.5,,0,5.75,10.5,
21323,FOLDER; ILLUS; COL; 5 X 6.75;,inches,5.0X6.75,,0,5.0,6.75,
21324,FOLDER; ILLUS; COL; 5.25X7.75;,inches,5.25X7.75,,0,5.25,7.75,
21325,FOLDER;4.5X7;,inches,4.5X7.0,,0,4.5,7.0,
21326,CARD;ENGRAVED MENU IN FRENCH;4 X 6.5;,inches,4.0X6.5,,0,4.0,6.5,
21327,CARD; 5X8;,inches,5.0X8.0,,0,5.0,8.0,
21328,FOLDER; GREEN; ILLUS; 6X 9.25.;,inches,6.0X9.25,,0,6.0,9.25,
21329,FOLDER; ILLUS ON COVER; 6 X 8.5;,inches,6.0X8.5,,0,6.0,8.5,
21330,CARD;ILL;COL;5X8;,inches,5.0X8.0,,0,5.0,8.0,
21331,BOOKLET; ILLUS;5.25X7;,inches,5.25X7.0,,0,5.25,7.0,
21332,BOOKLET; ILLUS; 6 x 7;,inches,6.0X7.0,,0,6.0,7.0,
21333,BROADSHEET;5X8;,inches,5.0X8.0,,0,5.0,8.0,
21334,FOLDER; ILLUS; COL; 5.25X7.5;,inches,5.25X7.5,,0,5.25,7.5,
21335,CARD; ILLUS; COL; 4.5X6.75;,inches,4.5X6.75,,0,4.5,6.75,
21336,CARD; 4.5 X 6.75;,inches,4.5X6.75,,0,4.5,6.75,
21337,CARD;,0,,,0,,,
21338,BROADSIDE; COL; 5.5 X 8.5;,inches,5.5X8.5,,0,5.5,8.5,
21339,BROADSIDE; ILLUS; COL; 6 X 8;,inches,6.0X8.0,,0,6.0,8.0,
21340,BOOKLET; ILLUS; COL; 5.25X6.75;,inches,5.25X6.75,,0,5.25,6.75,
21341,FOLDER;ILL;COL;3.75X5.5;,inches,3.75X5.5,,0,3.75,5.5,
21343,FOLDER; ILLUS; 5.75 X 9.5;,inches,5.75X9.5,,0,5.75,9.5,
21344,FOLDER; ILLUS; COL; 5X7.5;,inches,5.0X7.5,,0,5.0,7.5,
21345,CARD; ILLUS; COL; 5X8;,inches,5.0X8.0,,0,5.0,8.0,
21347,FOLDER;ILL;5.5X8.5;,inches,5.5X8.5,,0,5.5,8.5,
21348,CARD;,0,,,0,,,
21349,FOLDER; COL; ILLUS; 4.5 X.7;,inches,4.5X7.0,,0,4.5,7.0,
21350,CARD; ILLUS; COL; 5.5 X 8;,inches,5.5X8.0,,0,5.5,8.0,
21352,BOOKLET; ILLUS; COL; 4.25 X 6.5;,inches,4.25X6.5,,0,4.25,6.5,
21353,FOLDER; 7 X 10;,inches,7.0X10.0,,0,7.0,10.0,
21354,BROADSHEET; ILLUS; COL; 5 X 8;,inches,5.0X8.0,,0,5.0,8.0,
21355,FOLDER; ILLUS; COL; 4.5X7;,inches,4.5X7.0,,0,4.5,7.0,
21356,CARD; 5X8;,inches,5.0X8.0,,0,5.0,8.0,
21357,BOOKLET; ILLUS; 15 X 9.5;,cm,5.85X3.7,,0,15.0,9.5,
21359,BOOKLET; COL; ILUS; 4.75 X 8.5;,inches,4.75X8.5,,0,4.75,8.5,
21360,CARD; ILLUS; 5.5 X 7;,inches,5.5X7.0,,0,5.5,7.0,
21362,FOLDER; ILLUS; COL; 4.5 X 6.75,inches,4.5X6.75,,0,4.5,6.75,
21363,FOLDER; ILLUS; COL; 4.25 X 6,inches,4.25X6.0,,0,4.25,6.0,
21365,FOLDER; ILLUS; 5.75X7.25;,inches,5.75X7.25,,0,5.75,7.25,
21367,CARD;ILLUS;4.5 X 6.5;,inches,4.5X6.5,,0,4.5,6.5,
21368,BROADSIDE; ILLUS; COL; 5 X 8;,inches,5.0X8.0,,0,5.0,8.0,
