,Occurrance,Frequency
700,"('ILLUS', '5.75X8.75')",13
701,"('ILLUS', '6.25')",14
702,"('FOLDER', '5X6.5')",2
703,"('FOLDER', 'ILLUS.')",7
704,"('ILLUS.', 'COVER')",4
705,"('5', '5')",2
706,"('ILLUS', '5X8.5')",3
707,"('ILLUS', '4.5X6.25')",3
708,"('CARD', '4.0X6.25')",13
709,"('COL', '5.5X7.75')",11
710,"('4', '5X7.25')",1
711,"('ILLUS', '4X6.75')",2
712,"('COL', '7X10.5')",3
713,"('ILLUS', '6.25X7.75')",11
714,"('COL', '10.25X9.5')",8
715,"('BROADSHEET', '5.25X7.75')",2
716,"('BROADSHEET', '5.75X8.5')",10
717,"('COL', '5.0X8.0')",3
718,"('COL', '7.75X12')",3
719,"('CARD', '4X6.75')",5
720,"('COL', '3.25X4.75')",2
721,"('COL', '9X6.75')",1
722,"('COL', '4.5X6.75')",39
723,"('COL', '5.5X6.25')",6
724,"('COL', '5.75X7.5')",7
725,"('ILLUS', 'COLOR')",30
726,"('COLOR', '5.0X8.0')",14
727,"('BROADSHEET', '3.5X6')",2
728,"('5.25', 'X7.5')",1
729,"('CARD', '3')",9
730,"('FOLDER', '4.25X6.25')",7
731,"('ILLUS', '5.25X8')",2
732,"('ILL', '4.5X7')",9
733,"('CARD', 'ILLS')",2
734,"('ILLS', '5')",2
735,"('BROADSHEET', '5.5X8.5')",6
736,"('FOLDER', '6X9')",6
737,"('COL', '9')",4
738,"('FOLDER', 'CARD')",3
739,"('ILL', '4.75X7.5')",2
740,"('BROADSIDE', '5.25X7.75')",4
741,"('COL', '10.25')",5
742,"('5.5', 'X7')",1
743,"('BOOKLET', '3')",2
744,"('X', '4')",8
745,"('FOLDER', '4.5X6.25')",2
746,"('BROAADSIDE', '4.5X6.75')",1
747,"('BROADSIDE', '5.25X8')",2
748,"('COL', '6X9')",15
749,"('FOLDER', '6X9.25')",4
750,"('BROADSIDE', '5X8')",4
