id,physical_description,size_cp,size,menu_format,unit
25190,CARD; ILLUS; COL; 5.25X8;, 5.25x8,5.25x8,,
25191,FOLDER; ILLUS; 7 X 10;, 7 x 10,7x10,,
25193,"CARD; ILLUS; COL; 5,25X8.75;",25x8.75,5.25x8.75,,
25194,FOLDER; 5X7;, 5x7,5x7,,
25195,FOLDER; 5.5 X 7;, 5.5 x 7,5.5x7,,
25196,FOLDER; ILLUS; COL; 4.5X7.75;, 4.5x7.75,4.5x7.75,,
25197,CARD;ILLUS;COL;5X9;,5x9,5x9,,
25198,FOLDER; ILLUS; 5.5 X 7;, 5.5 x 7,5.5x7,,
25201,BROADSIDE; ILLUS; 4.5 X 7.5;, 4.5 x 7.5,4.5x7.5,,
14229,BROADSIDE; ILLUS; COL; 5.5 X 8.25;, 5.5 x 8.25,5.5x8.25,,
25203,6 PAGE BOOKLET;RED WHITE & BLUE RIBBON TRIM ON COVER;4.5 X 6.5;,4.5 x 6.5,4.5x6.5,,
25204,FOLDER;GOLD EMBLEM;3.5X5;,3.5x5,3.5x5,,
25205,BOOKLET;ILL;COL;4.5X6;,4.5x6,4.5x6,,
25206,CARD; ILLUS; COL; 5 X 7;, 5 x 7,5x7,,
25208,BROADSHEET; 6.75X9.0; ILLUS; COLOR;, 6.75x9.0,6.75x9.0,,
25209,CARD; 3.25X5.0; ILLUS; COL;, 3.25x5.0,3.25x5.0,,
25210,CARD; 4.25 X 6.25;, 4.25 x 6.25,4.25x6.25,,
25211,FOLDER; 6.5X10.5;, 6.5x10.5,6.5x10.5,,
25212,BROADSIDE;ILLUS;COL;3.5X9;,3.5x9,3.5x9,,
25213,BOOKLET; ILLUS; COL; 4.5X7;, 4.5x7,4.5x7,,
25181,FOLDER; 5.25X8.25;, 5.25x8.25,5.25x8.25,,
25180,CARD; ILLUS; COL; 5X8;, 5x8,5x8,,
25179,CARD;ILL;COL;5.5X8.25;,5.5x8.25,5.5x8.25,,
25162,BROADSIDE; ILLUS; COL; 5X7.75;, 5x7.75,5x7.75,,
25144,CARD; ILLUS; COL; 5X8;, 5x8,5x8,,
25145,FOLDER; ILLUS; COL; 5X8.25;, 5x8.25,5x8.25,,
25147,BOOKLET; ILLUS; COL; 7 x 11;, 7 x 11,7x11,,
25149,BOOKLET; ILLUS; 5.5X7.75;, 5.5x7.75,5.5x7.75,,
25150,FOLDER; ILLUS; COL; 5.5X7;, 5.5x7,5.5x7,,
25152,BOOKLET; 4.5X5.5;, 4.5x5.5,4.5x5.5,,
25155,BOOKLET; ILLUS; 5.25 X 7;, 5.25 x 7,5.25x7,,
25156,FOLDER;COL;7X11;,7x11,7x11,,
25157,CARD;ILL;COL;5.5X8.5;,5.5x8.5,5.5x8.5,,
25158,CARD; ILLUS; COL; 4.5X6.5;, 4.5x6.5,4.5x6.5,,
